id,hash,language,author_name,author_age,author_sex,receiver_sex,text_raw_numtokens,year,month,day,text_type
54,122d2fe084c74b784a871c488a59ceb2531f4bfa1b80b15312f17ed27659ce1e,en,George Orwell,36,m,m,838,1938,6,16,letter
67,3ac087a3bb76b671829f5e83f0868096341b646e24aa7caa3cc2f786334f00ce,en,George Orwell,36,m,m,485,1938,12,2,letter
73,a4b3cb2b9923f891d9f5f69b5b1270786bcd74f2dc7c17adc91b7bd946a7acd2,en,George Orwell,36,m,m,741,1939,1,15,letter
74,495805ca8d6b5997fbaa3458ad4b5de867396abdb9b931c65d000aac15567386,en,George Orwell,36,m,f,599,1939,2,23,letter
77,7d9dd9db267b03cae0bb2e370d66a01b4b96d1d6e7ac9e765611d196571ac5ae,en,George Orwell,36,m,m,876,1939,3,5,letter
78,fa728fb4bec17697356103f1894a11e75ead44810c70555797bc2dab40d0f68b,en,George Orwell,36,m,m,1110,1939,3,5,letter
80,94fc5eb526a6a1fa2c16db62c3185d6fbab64ec5d3299a4ffcef49b5b1f03978,en,George Orwell,36,m,f,96,1939,3,30,letter
84,0155247adb8ddd2900061118a6053f87d7ace3cd1e3876e72bb355edaa0358f2,en,George Orwell,37,m,m,179,1939,8,4,letter
85,91cd73bc3ff9a1ae915f6281783128aeeff86458fbd210fcf90dd0e8df6345b3,en,George Orwell,37,m,m,232,1939,10,6,letter
86,0d98b7591bdf0ba42e6b24701afa534671aa3b121d639b16a9130d0d07cd0390,en,George Orwell,37,m,m,332,1939,12,8,letter
89,bb825275b80758e68f1aa2f06ce422101b64ecea3bfb1be2ca0681a0f5c0a9bf,en,George Orwell,37,m,m,1029,1940,4,3,letter
201,2409257e9b8e9396505e083cb4e818a6ff0b989605eeab1a4118d984f9c359a5,en,George Orwell,44,m,f,1217,1947,4,12,letter
90,8a579ad7aabf27c04b5b056818d16268e51722b07e517be2971d4b4bbe11dc97,en,George Orwell,37,m,m,427,1940,4,16,letter
91,53bbaf6386e3b1641e04e287551fd818ecb2e286687eca5bc4f01c070255ef71,en,George Orwell,37,m,m,441,1940,5,1,letter
210,b03a7585f8538cd4043919d10e4653047a5ad947d939af65f606e3a3a5039a36,en,George Orwell,45,m,m,619,1947,9,29,letter
94,4fe7facfb3e961321e97e7e859e883cc7d2d66e94dc4c4fae1b30e07c095ed84,en,George Orwell,38,m,m,189,1940,10,22,letter
96,011944315ac534e979e8676aa6963661f9528ead937325f713d5a8447b802c14,en,George Orwell,38,m,m,341,1941,3,17,letter
97,1617351e708aa92f668f1a84dad9cdef732c13f26d5a16b15e34244c4dde4220,en,George Orwell,38,m,m,737,1941,3,21,letter
100,044942478a12bf2792de4b057b4023a785d2cbcb45e7a2d0da016f8a4a30aee0,en,George Orwell,39,m,f,545,1941,6,20,letter
228,6e992d57de602e89e9cf4c5ded1d4e512b66c52f53b8590966e1a2ec1dad4426,en,George Orwell,45,m,m,691,1948,3,5,letter
101,3074c407e2849b2b77c4ae3af851dbb104e9192b0de221343ffb9ec1b0b631ca,en,George Orwell,39,m,m,444,1942,5,16,letter
102,3b0be5325ad7b3d1db56c8b27b47c37daf592a04cafc06f29772655f245b5c31,en,George Orwell,40,m,m,233,1942,7,11,letter
103,83b28007c24cd2e9316988b01b3b7490d64cdd963666fc1af31bbda74ac2accd,en,George Orwell,40,m,m,845,1942,7,15,letter
104,eeeec31ed8e3b5b680b2846b1de20ce421e745f627d912b7b3aa7d67d3418586,en,George Orwell,40,m,m,520,1942,7,23,letter
234,b79075dcd127997973736f4c28157c5b8145a01b6e708ecb4e48e87a16ab290b,en,George Orwell,45,m,m,635,1948,4,20,letter
237,0f0c8ea3b1615e02c6fca5ac699e4ba631db9d7595a9c9784333d15738fa254e,en,George Orwell,45,m,m,892,1948,5,2,letter
238,b7598da3322775515c7a70b18a79f6f10363762f5a78d2f11d6fbee7558af7db,en,George Orwell,45,m,m,731,1948,5,10,letter
240,b36661b41f8be6ffedd9ee0170b15643b86140107ab26806cfc4ff3383771629,en,George Orwell,45,m,f,1037,1948,5,19,letter
242,dbc0e881a8583dddad1cf3f153835c72a61f13fe5727779c8e1bdc821afea61e,en,George Orwell,45,m,f,468,1948,5,27,letter
244,84177190230510297b42f1fd1a008dc16d76a5854b70599616d92fde805d7f87,en,George Orwell,46,m,m,475,1948,7,10,letter
246,a8fb654881c97ee96492278d1c5335a227827bf6ac6d3e3be640d539c5698837,en,George Orwell,46,m,m,140,1948,7,29,letter
178,9da6f46b7d20ff200662bebc204f3d0da0466d6aaeae54fc80f9a4e01d631dc7,en,George Orwell,44,m,f,289,1946,8,7,letter
